Period,Clock,Play,Score,game_id,home_id,away_id,game_date
2,00:00.00,Period end (confirmed),33 - 33,5254215,561101,560694,2024-04-02
2,00:01.30,"Foul offensive (back court) Aaliyah Edwards(UConn), turnover offensive Aaliyah Edwards(UConn), foul on Kaitlyn Davis(Southern California)",33 - 33,5254215,561101,560694,2024-04-02
2,00:16.70,Substitution Southern California: in Taylor Bigby,33 - 33,5254215,561101,560694,2024-04-02
2,00:16.70,Substitution Southern California: out McKenzie Forbes,33 - 33,5254215,561101,560694,2024-04-02
2,00:16.70,"Foul personal (in the paint) McKenzie Forbes(Southern California), foul on Paige Bueckers(UConn)",33 - 33,5254215,561101,560694,2024-04-02
2,00:36.00,Free throw 2 of 2 (fast break) made by JuJu Watkins(Southern California),33 - 33,5254215,561101,560694,2024-04-02
2,00:36.00,Free throw 1 of 2 (fast break) made by JuJu Watkins(Southern California),33 - 32,5254215,561101,560694,2024-04-02
2,00:36.00,Foul personal (shooting;2 free throws) (under the basket) Qadence Samuels(UConn),33 - 31,5254215,561101,560694,2024-04-02
2,00:43.00,2pt driving layup (in the paint) missed by Paige Bueckers(UConn),33 - 32,5254215,561101,560694,2024-04-02
2,00:57.00,Free throw 2 of 2 (off turnover) made by Rayah Marshall(Southern California),33 - 31,5254215,561101,560694,2024-04-02
2,00:57.00,Free throw 1 of 2 (off turnover) made by Rayah Marshall(Southern California),33 - 30,5254215,561101,560694,2024-04-02
2,00:57.00,Foul personal (shooting;2 free throws) (in the paint) Ice Brady(UConn),33 - 29,5254215,561101,560694,2024-04-02
2,01:07,"Turnover bad pass (outside center) Ice Brady(UConn), steal Rayah Marshall(Southern California)",33 - 29,5254215,561101,560694,2024-04-02
2,01:18,"2pt layup (under the basket) made by Rayah Marshall(Southern California), assist McKenzie Forbes(Southern California)",33 - 29,5254215,561101,560694,2024-04-02
2,01:33,"2pt jump shot (inside center) made by Ice Brady(UConn), assist Paige Bueckers(UConn)",33 - 27,5254215,561101,560694,2024-04-02
2,01:54,"3pt jump shot (outside center) missed by McKenzie Forbes(Southern California), rebound defensive (team) UConn",31 - 27,5254215,561101,560694,2024-04-02
